Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Landing Page,100,1248,1181,1641,1898,2827,738,2877,0.000%,.99159,1189.69,3.05
Login,100,11692,12491,19147,19430,19780,967,19860,0.000%,.84582,171.10,2.80
View Course,300,3919,4221,5764,5978,6279,496,6560,0.000%,2.23304,485.87,5.27
Quiz,100,2355,2600,3494,3690,3880,279,3904,0.000%,.80868,98.98,0.36
Moodle Assignment,100,2779,2962,4182,4295,4461,584,4529,0.000%,.77729,97.68,0.34
Forum,100,3491,3711,5247,5449,5926,697,5943,0.000%,.75274,145.61,0.33
Course View,100,3596,3829,5387,5791,5958,526,6211,0.000%,.75094,147.81,0.99
Download File,100,1255,1203,1516,1664,2274,841,3112,0.000%,.74760,761.93,0.46
Home Page,100,3209,3345,5197,5585,5917,535,5948,0.000%,.75003,147.39,0.63
Log Out,100,1569,1463,2501,2555,3167,232,10139,0.000%,.75313,81.02,0.34
TOTAL,1200,3579,2827,5776,9323,18990,232,19860,0.000%,8.52364,2852.87,12.80
