Course ID,Full Name,Category,Block Name
27757,ISD IT Training Archive,Miscellaneous,course_menu
36951,DO NOT SHOW - Copy of CHLDGN08,Miscellaneous,course_menu
21817,MBBS Year 4: online module on population screening 2015,Miscellaneous,course_menu
30111,"SLANG204: Brain, Mind and Health",Miscellaneous,course_menu
41595,UCL Engineering Moodle Evaluation Course 1,Miscellaneous,course_menu
22407,The flipped classroom - resources,Special Interest Groups for Staff,course_menu
21805,The Flipped Classroom workshop,Special Interest Groups for Staff,course_menu
40743,RITS project space for Sam,Special Interest Groups for Staff,course_menu
4603,Transition @ UCL,Special Interest Groups for Students,course_menu
10051,UCL Study Abroad Preparation Programme,Special Interest Groups for Students,course_menu
18861,Study Abroad 2012/13,Special Interest Groups for Students,course_menu
42115,UCL Study Abroad - Short Mobility Preparation,Special Interest Groups for Students,course_menu
5541,Pre-enrolment Transition,Special Interest Groups for Students,course_menu
10053,UCL Students Abroad,Special Interest Groups for Students,course_menu
35237,UCL Global Ambassadors ,Special Interest Groups for Students,course_menu
36579,ABC workshop online toolkit,Courses in development,course_menu
5307,A Course,Courses in development,course_menu
23310,CALT SLMS PGTA Developing Your Teaching,Centre for the Advancement of Learning & Teaching,course_menu
26721,UCL Arena Open,Centre for the Advancement of Learning & Teaching,course_menu
26729,UCL Arena Open COPIED,Centre for the Advancement of Learning & Teaching,course_menu
26963,UCL Arena One: Gateway,Centre for the Advancement of Learning & Teaching,course_menu
29533,"UCL Arena Two Autumn 2014, Groups A, B & C",Centre for the Advancement of Learning & Teaching,course_menu
34365,UCL Arena Introduction to Teaching,Centre for the Advancement of Learning & Teaching,course_menu
205,CALT Forum,Centre for the Advancement of Learning & Teaching,course_menu
36699,UCL Arena Two 2016-17,Centre for the Advancement of Learning & Teaching,course_menu
1907,Investigating Research,Centre for the Advancement of Learning & Teaching,course_menu
20979,CALT-BEAMS PGTA & Part-time Teaching Fellows support,Centre for the Advancement of Learning & Teaching,course_menu
25200,CALT SLMS PGTAs: Teaching Associate Programme (TAP),Centre for the Advancement of Learning & Teaching,course_menu
26727,UCL Arena Resources Postdocs,Centre for the Advancement of Learning & Teaching,course_menu
26863,UCL Arena Two 2015-16,Centre for the Advancement of Learning & Teaching,course_menu
29369,Arena playpen,Centre for the Advancement of Learning & Teaching,course_menu
30285,UCL ChangeMakers,Centre for the Advancement of Learning & Teaching,course_menu
205,CALT Forum,Centre for the Advancement of Learning & Teaching,course_menu
34997,UCL Arena One: Teaching Associate Programme ,Centre for the Advancement of Learning & Teaching,course_menu
690,ProfDevinPractice,Centre for the Advancement of Learning & Teaching,course_menu
40259,Liberating the Curriculum Forum ,Centre for the Advancement of Learning & Teaching,course_menu
9507,UCL Arena - UK Professional Standards for Teaching and Supporting Learning (CALT),Centre for the Advancement of Learning & Teaching,course_menu
21985,"Feedback with audio, graphical and interactive media",Moodle Support and Training,course_menu
35977,Learning with Technology: Student Induction (Pre-July 2015),Moodle Support and Training,course_menu
7434,Learning with Technology: Student Induction,Moodle Support and Training,course_menu
25131,A course on Course Design,Moodle Support and Training,course_menu
36035,Moodle Screenshotter,Moodle Support and Training,course_menu
39943,MSc Architectural Computation 2016-17,"Bartlett, Faculty of Built Environment",course_menu
41409,Bartlett School of Architecture Field Trips,"Bartlett, Faculty of Built Environment",course_menu
40377,BSASR :Bartlett School of Architecture Student Representatives,"Bartlett, Faculty of Built Environment",course_menu
21289,ANTH: Careers,Anthropology,course_menu
41371,LCIT6077:  Italian Professional and Academic Purposes II,Arts and Humanities,course_menu
42163,Romanticism and Revolution,Arts and Humanities,course_menu
39211,CLIE Course Units training 1,Arts and Humanities,course_menu
40239,TRANG015_1 - Localisation,Arts and Humanities,course_menu
41359,LCSP6077: Spanish Professional and Academic Purposes II,Arts and Humanities,course_menu
41365,LCDU6034: LCDU6034: Dutch Level 4 (CD),Arts and Humanities,course_menu
41369,LCGE6077: German Professional and Academic Purposes II,Arts and Humanities,course_menu
42077,ISSU1047: International Relations,Arts and Humanities,course_menu
39213,CLIE Course Units training 2,Arts and Humanities,course_menu
41357,LCJA6077: Japanese Professional and Academic Purposes II,Arts and Humanities,course_menu
41363,LCDU6023: LCDU6023: Dutch Level 3 (BC),Arts and Humanities,course_menu
41367,LCFR6077: French Professional and Academic Purposes II,Arts and Humanities,course_menu
14658,SLMS Staff,Biomedical Sciences,course_menu
14658,SLMS Staff,Biomedical Sciences,course_menu
22764,SLMS Staff,Biomedical Sciences,course_menu
605,Dr Blackman Tutorials ,Chemistry,course_menu
4640,CHEM1301LAB: Physical Chemistry Laboratory Course,Chemistry,course_menu
9809,Chemistry Laboratory Simulator,Chemistry,course_menu
38171,SE Potts Test Course 2,Chemistry,course_menu
4015,Chemistry Postgraduate Webpage,Chemistry,course_menu
9200,CHEM3205/CHEMH325: Principles and Methods of Organic Synthesis,Chemistry,course_menu
15876,STB Group,Chemistry,course_menu
41073,Test Course,Chemistry,course_menu
9963,INSTG006: Managing Collections,Information Studies,course_menu
11859,INSTG008: Digital Resources in the Humanities,Information Studies,course_menu
12303,INSTG027: Principles of Computing and Information Technology A - Course Information,Information Studies,course_menu
22129,INSTG074: Textbook Publishing,Information Studies,course_menu
723,INSTG034: Services to Children & Schools,Information Studies,course_menu
11327,INSTG017: Internet Technologies,Information Studies,course_menu
11861,INSTG036: Web Publishing - course information,Information Studies,course_menu
16305,"INST6002: Web Technologies, Users and Management",Information Studies,course_menu
24009,INSTG006: Collection Management - Coursework submission only 2016/17,Information Studies,course_menu
18768,LLB Legal Method Induction (Staff),Laws,course_menu
21075,LAWS1014: Law in Action,Laws,course_menu
26217,Academic Services Moodle Test Page,Laws,course_menu
39129,LAWS3047: Law and Social Inquiry,Laws,course_menu
1038,Laws Research Students Methods Seminars ,Laws,course_menu
39781,Test Course ,Laws,course_menu
7404,LLB Academic Legal Writing,Laws,course_menu
42237,LAWS3039: Alternative Dispute Resolution copy 1,Laws,course_menu
13149,(PORTICO code/s) Laws Moodle,Laws,course_menu
18756,LLB Academic Mentoring (Staff),Laws,course_menu
18762,LLB + LLM Teaching Fellow Induction Materials,Laws,course_menu
19299,LLM Teaching Support Materials (Staff),Laws,course_menu
25428,Programme for Law Teachers (PLT) 2013/14,Laws,course_menu
35179,Laws Careers Opportunities,Laws,course_menu
39131,LAWS3046: Philosophical Foundations of the Common Law,Laws,course_menu
6019,Programme for Law Teachers (PLT) 2016-17,Laws,course_menu
42039,Test course,Laws,course_menu
8248,LAWSXXXX: Laws Template,Laws,course_menu
18753,LLB Examinations (Staff),Laws,course_menu
18759,LLB Teaching and Learning (Staff),Laws,course_menu
5227,Basic Statistics for Research,Life Sciences,course_menu
1240,Essential Statistics,Life Sciences,course_menu
18972,Anatomy Laboratory Tutor Resource ,Life Sciences,course_menu
258,Nick Mann's Test Course,Test Courses,course_menu
33407,Francesca Harrison's test course,Test Courses,course_menu
40791,CHLDGX01 Copy 23 Nov 2016,Test Courses,course_menu
23277,ELEC103P: Digital Electronics 1,Test Courses,course_menu
4083,Rod Digges - Demo Course,Test Courses,course_menu
35621,Test Course,Test Courses,course_menu
41195,Faculty of Brain Sciences Comms Network,Test Courses,course_menu
25461,Matthew Lever test course,Test Courses,course_menu
36387,Eileen Kennedy,Test Courses,course_menu
7412,James Watson Demonstration Course,Test Courses,course_menu
41723,import import,Test Courses,course_menu
25536,Laws Programme Administrators Test Page,Test Courses,course_menu
36989,Dave Carter careers sandbox ,Test Courses,course_menu
10101,Ben Chatterley's Test Course,Test Courses,course_menu
41835,Lisa Cagnacci Test Course,Test Courses,course_menu
26215,Natasa's course  test ,Test Courses,course_menu
37705,Sibylle Nalezinski's Test Course II,Test Courses,course_menu
10151,Caroline Smith - Test course,Test Courses,course_menu
42329,MECH302P Draft - DO NOT PUBLISH,Test Courses,course_menu
26865,Caroline E Milton's Test Course,Test Courses,course_menu
37815,Zaman Test Page,Test Courses,course_menu
12837,Angela Poulter's Test Course,Test Courses,course_menu
28095,Izzy Blackburn's Test Course,Test Courses,course_menu
37969,Kylie Groves test course,Test Courses,course_menu
16107,KYP test course,Test Courses,course_menu
29707,Moira Wright's Test Course,Test Courses,course_menu
39145,Robert Leonard Brown test course,Test Courses,course_menu
17049,Russell Rodrigues's test course,Test Courses,course_menu
98,Sibylle Nalezinski's Test Course,Test Courses,course_menu
30133,Robert Bodden Test Course,Test Courses,course_menu
39693,Markella Rouka test course,Test Courses,course_menu
22285,Trail02 Test Course,Test Courses,course_menu
1208,Kate Howe Test Course,Test Courses,course_menu
34687,Mari King test course,Test Courses,course_menu
40971,Saini Manninen Test Course,Test Courses,course_menu
24870,Nicola Brodowska's test course,Test Courses,course_menu
35671,Martyn Fice test course,Test Courses,course_menu
4987,Karin Charles's Test Course,Test Courses,course_menu
41609,Christian Addie - Test Course,Test Courses,course_menu
25533,Course Design Improvement Treasure Hunt,Test Courses,course_menu
36735,Paul Archer test course,Test Courses,course_menu
8766,Ann Smith Test Course,Test Courses,course_menu
41795,Kristina Middleton Test Course,Test Courses,course_menu
25825,Pablo Fernandez Medina,Test Courses,course_menu
37429,The History of Lo-Fi: From Nick Drake to Fog Lake,Test Courses,course_menu
10141, Lauren Collins - Test course,Test Courses,course_menu
41895,Jodie R McIntosh-Shah Test course,Test Courses,course_menu
26267,z___Pilar Garcia Souto Projects,Test Courses,course_menu
37757,Martyn S Gray Test Course,Test Courses,course_menu
12721,BENXXXXX: Bartlett school of planning template,Test Courses,course_menu
26991,Natasa Perovic test course,Test Courses,course_menu
37949,LAWSTEST: TEST COURSE,Test Courses,course_menu
14709,Rob Lee Test Course,Test Courses,course_menu
29001,D TANNER TEST,Test Courses,course_menu
38499,Moodle Testing copy 2,Test Courses,course_menu
16392,Fi's second moodle testing course ,Test Courses,course_menu
29791,Neil S Roberts's Test Course,Test Courses,course_menu
39385,Sally Parekh Test Course,Test Courses,course_menu
18735,School of Managament Moodle Features Demo for Staff,Test Courses,course_menu
7542,POLS6011: Introduction to Comparative Politics,Political Science & School of Public Policy,course_menu
4601,SPP Teaching and Personal Tutor Resources,Political Science & School of Public Policy,course_menu
19251,PUBLG004B: Introduction to Qualitative Research Methods for Masters Students,Political Science & School of Public Policy,course_menu
5559,GEOL1006: Foundations of Physical Geoscience,Earth Sciences,course_menu
967,GEOL3036A: Biodiversity and Macroevolutionary Patterns,Earth Sciences,course_menu
29153,Earth Sciences - Matlab,Earth Sciences,course_menu
2611,GEOL2027: Structural Geology & Tectonics,Earth Sciences,course_menu
5565,GEOLM003: Earth and Planetary System Science,Earth Sciences,course_menu
970,GEOLM037_GEOLGG23: Deep Earth and Planetary Modelling,Earth Sciences,course_menu
36369,Earth Sciences SEQ,Earth Sciences,course_menu
2615,GEOL1015: Geology of Planetary Bodies,Earth Sciences,course_menu
7634,GEOL3003_GEOLGG25: Geodynamics & Global Tectonics,Earth Sciences,course_menu
2024,GEOLXXXX: Earth Sciences Template,Earth Sciences,course_menu
39927,GEOL2016: Principles of Climate ,Earth Sciences,course_menu
2619,GEOL1003: History of Life,Earth Sciences,course_menu
12218,GEOLGG01: Research Methods,Earth Sciences,course_menu
2029,GEOLM002_GEOLGH07: Earthquake Seismology & Earthquake Hazards,Earth Sciences,course_menu
41947,GEOL3050: Metamorphism and Metamorphic Processes,Earth Sciences,course_menu
2623,GEOL1012: Surface Processes,Earth Sciences,course_menu
12224,GEOLGG99: Dissertation,Earth Sciences,course_menu
2032,GEOL2004: Chemistry of Earth Environments,Earth Sciences,course_menu
3633,GEOLGH05_GEOLM008: Physical Volcanology and Volcanic Hazard,Earth Sciences,course_menu
2035,GEOLM006: Earth and Planetary Materials,Earth Sciences,course_menu
24747,EarthSci - PhD Students,Earth Sciences,course_menu
3637,GEOLGH99: MSc Independent Research Project,Earth Sciences,course_menu
2037,GEOL3043: Earth Resources & Sustainability,Earth Sciences,course_menu
27861,GEOL2028: Isotope Geology,Earth Sciences,course_menu
3641,GEOLGH02: Meteorological Hazards,Earth Sciences,course_menu
83,GEOL2012: Metamorphism,Earth Sciences,course_menu
2039,GEOLM022: Hydrogeology and Groundwater Resources,Earth Sciences,course_menu
27867,GEOL3047: Seismology I,Earth Sciences,course_menu
4093,Earth Sciences Green Sustainability ,Earth Sciences,course_menu
315,Geomaths  Tutorials for Earth Sciences,Earth Sciences,course_menu
2605,GEOL2009: Surface Processes and Structures,Earth Sciences,course_menu
28583,GEOL3045: Groundwater Science,Earth Sciences,course_menu
5561,GEOL2014: Global Geophysics,Earth Sciences,course_menu
968,Earth Sciences Careers and Resources ,Earth Sciences,course_menu
30071,GEOL3049: Advanced Geochemistry ,Earth Sciences,course_menu
2613,GEOL1013: The Earth,Earth Sciences,course_menu
7600,GEOL1014: Geochemistry,Earth Sciences,course_menu
971,"GEOL3040/GEOLG040/GEOLM040:Crustal Dynamics, Mountain Building and Basin Evolution.",Earth Sciences,course_menu
37345,Earth Sciences - Rock and Ice Physics Labs Safety,Earth Sciences,course_menu
2617,GEOL1002: From Petrology to Petrogenesis,Earth Sciences,course_menu
7754,GEOLM010: Tectonic Geomorphology,Earth Sciences,course_menu
2026,GEOL1001: Earth Materials,Earth Sciences,course_menu
40011,GEOL2029: Numerical Methods,Earth Sciences,course_menu
2621,GEOL1004: Dynamic Earth,Earth Sciences,course_menu
12220,GEOLGG02: Research Proposal,Earth Sciences,course_menu
2031,GEOLM905: MSci Independent Project,Earth Sciences,course_menu
41949,GEOLM044_GEOLG046: Advanced Biodiversity and Macroevolutionary Studies ,Earth Sciences,course_menu
2811,GEOL3042 - Geological and Environmental Mapping ,Earth Sciences,course_menu
12643,GEOL3011: Geosciences Report,Earth Sciences,course_menu
2034,GEOL4010: Tectonic Geomorphology,Earth Sciences,course_menu
3635,"GEOLGH06: Meteorological, Climate and Hydrogeological Hazards",Earth Sciences,course_menu
2036,GEOLM018_GG17: Palaeoceanography,Earth Sciences,course_menu
26573,Earth Sciences - Teaching Matters,Earth Sciences,course_menu
3639,GEOLGH01: Geological and Geotechnical Hazards,Earth Sciences,course_menu
2038,GEOLM012_GG18: Palaeoclimatology,Earth Sciences,course_menu
27865,GEOL3046: Marine Geology,Earth Sciences,course_menu
3643,GEOLGH04: Research Methods & Disaster Management,Earth Sciences,course_menu
97,GEOL3030 Active Tectonics,Earth Sciences,course_menu
2603,"GEOL2026: Maps, Images and Structures ",Earth Sciences,course_menu
27875,GEOL3048: Seismology II,Earth Sciences,course_menu
21151,MECHANICAL ENGINEERING STUDENT FEEDBACK,Mechanical Engineering,course_menu
38397,MECH304P: Elasticity and Plasticity,Mechanical Engineering,course_menu
29461,MECH104P: Engineering Dynamics ,Mechanical Engineering,course_menu
38401,MECH311P: Solid Biomechanics,Mechanical Engineering,course_menu
30039,MECHGB06/MECHGM91:  Evaluation & Planning of Business Opportunities in Bioprocessing & Life Sciences - Group Project,Mechanical Engineering,course_menu
34249,MECH210P: Fundamentals of Biomechanics,Mechanical Engineering,course_menu
34271,MECH206P: Design and Professional Skills II (for Mechanical Engineers) ,Mechanical Engineering,course_menu
4523,MECH2005: Stress Analysis,Mechanical Engineering,course_menu
34275,MECH202P: Control and Instrumentation,Mechanical Engineering,course_menu
12009,MECH2002: Applied Electricity & Instrumentation,Mechanical Engineering,course_menu
34305,MECH203P: Intermediate Thermodynamics and Fluid Mechanics,Mechanical Engineering,course_menu
14205,MECHANICAL ENGINEERING UNDERGRADUATE VIRTUAL OFFICE,Mechanical Engineering,course_menu
38145,Mechanical Engineering Test Course,Mechanical Engineering,course_menu
18615,UG Mechanical Engineering Induction information,Mechanical Engineering,course_menu
38395,MECH303P: Advanced Thermodynamics and Fluid Mechanics,Mechanical Engineering,course_menu
29459,MECH103P: Introduction to Thermodynamics and Fluid Mechanics,Mechanical Engineering,course_menu
38399,MECH310P: Biofluid Mechanics,Mechanical Engineering,course_menu
29875,MechTrain,Mechanical Engineering,course_menu
34247,MECH201P: Manufacturing and Design,Mechanical Engineering,course_menu
34269,MECH205P: Engineering Materials - Failure and Design,Mechanical Engineering,course_menu
34273,MECH204P: Mechanics of Solids & Structures,Mechanical Engineering,course_menu
4535,MECH2003a: Impeller Design Project (Engineering Design II),Mechanical Engineering,course_menu
34303,Practice Moodle page,Mechanical Engineering,course_menu
12258,MECHM007/MECHGR06/MECHGM06 Heat Transfer and Heat Systems,Mechanical Engineering,course_menu
34363,Test Course copy 1,Mechanical Engineering,course_menu
15156,CATIA Licence Information,Mechanical Engineering,course_menu
38393,MECH302P: Dynamics and Control,Mechanical Engineering,course_menu
1943,DUTC4205: Contemporary history and culture of the Low Countries,Dutch,course_menu
3245,DUTC1001: Dutch Language 1,Dutch,course_menu
4231,ELCS6027: Nationalism and Ethnicity in Contemporary Europe,Dutch,course_menu
34823,DUTC1101: 2012/13 Copy,Dutch,course_menu
1942,DUTC1101: Born out of rebellion: The Low Countries from the Dutch Revolt to the eve of WWI (2016/17),Dutch,course_menu
1944,"DUTC2101: At the Crossroads of Europe: Belgium, the Netherlands and Luxembourg in the 20th and 21st centuries",Dutch,course_menu
4169,DUTCGD01: Identity and Belonging in the Low Countries (DCS Core Course 1),Dutch,course_menu
5247,Lagelands,Dutch,course_menu
35143,"DUTC2101: At the Crossroads of Europe: Belgium, the Netherlands and Luxembourg in the 20th and 21st centuries 12/13 cop7",Dutch,course_menu
13259,URBNG007: Community Participation in City Strategies,Geography,course_menu
13951,GEOG3065: Mining Social and Geographic Datasets,Geography,course_menu
35919,Geography IQR 2015-16,Geography,course_menu
39019,Economics Undergraduate Administration copy 1,Geography,course_menu
