Number of Files,Course ID,Course Full Name
76252,10031,Activ online learning for ECDL Syllabus 5 - Windows Vista/Office 2010
8794,2775,MSc in International Primary Health Care
8147,4553,CHEM1301: Basic Physical Chemistry
7920,2350,MSc (PG Dipl): Facility and Environment Management
6882,1035,CHEM2303: Chemical Reaction Dynamics
6685,4173,CHEM2302: Physical Chemistry for Medicinal Chemistry and Life Sciences
6675,2190,CHEM2102 Inorganic Chemistry Laboratory Course
6640,4495,CHEM2301/CHEM2304:Physical Chemistry
6625,4431,CHEM2203: Organic and Biological Reaction Mechanisms
6540,37837,"CHEM3006/7/8 Synthesis & Characterisation Techniques in Chemistry, Instrumental & Computational Techniques in Chemistry, Synthetic Chemistry & Instrumentation"
6514,942,CHEM2201/CHEM2202: Organic Chemistry
6505,4702,"CHEM3206/CHEMHG26: Pathways, Intermediates and Function in Organic Chemistry"
6482,37843,CHEM3009 Chemical Literature
6466,10023,CHEM3042/CHEMGG02 Concepts in Computational & Experimental Chemistry
6435,10767,CHEM3204/CHEMG204: Principles of Drug Design
6429,10765,CHEM3203/CHEMG203: Biological Chemistry
6428,4559,CHEMM201/CHEMGG21: Stereochemical Control in Asymmetric Total Synthesis 
6422,4061,"CHEM3141/CHEMH101: Inorganic Rings, Chains and Clusters"
6349,9449,CHEMM004/CHEMGG04: Intense Radiation Sources for Chemistry
6343,487,CHEM2102/3: Principles in Inorganic Chemistry
6087,3499,CHEM1001/1002/1003: Quantitative Chemistry
6014,9040,CHEM1201: Basic Organic Chemistry
5967,3985,CHEM1101: Basic Inorganic Chemistry
5503,7520,CHEMM304 and CHEMGG44: Numerical and Analytical Methods  
5500,10729,CHEMM901/2 Advanced Chemical Project
5490,7093,CHEM3301/CHEMH331: Advanced Topics in Physical Chemistry
5361,7992,CHEMM302/CHEMGG32: Topics in Quantum Mechanics
5342,5737,CHEM3101/CHEMH311: Advanced Topics in Inorganic Chemistry 
5242,38211,CHEM1006: Chemical Skills 2016/17
5242,10803,CHEMM003/CHEMGG03: Homogeneous and Heterogeneous Catalysis
5242,24966,CHEM1005: Chemical Foundations
5242,37839,CHEM_Test_1 Trial Page
5242,10367,CHEM_Test_2 Trial Page
4907,40551,UCL Department of Chemistry Safety Page
4907,39065,CHEM1005/6LAB: Chemical Foundations/Chemical Skills Laboratory Course
3982,36021,Rod Digges Test Course zero
3237,36573,CHEM160x (Remedyforce IN00879013 01)
3237,36575,CHEM160x (Remedyforce IN00879013 02)
3237,41857,CHEM160X Labs
3237,4979,CHEM160x - Chemistry for Biologists  2016-17
3237,41029,IMPORT CHEM160X COURSE
2967,10649,MBBS Year 1 Mod 1 Foundations of Health and Medical Practice
2926,7318,CHEM1601LAB: Chemistry Foundations
2682,4995,CHEM1004LAB: Foundations of Chemistry Lab Course
2507,13673,BIOC1001/1009 Biochemistry and Molecular Biology
2259,13287,z-INACTIVE MBBS Year 4 Child and Family Health with Dermatology REVAMP - OPTION 2
2159,10683,"MBBS Year 1 Mod 4 Fluids, Nutrition and Metabolism"
1914,14928,INIMG002: Immunology in Health and Disease
1761,6017,Museums Moodle
1715,38735,IGHPGFB: IGH Postgraduate Student Feedback page
1643,268,INIM3007 Viruses and Disease
1643,8656,PATHG015: Advanced Virology
1642,14907,PATHG013: Microbial Pathogenesis
1642,267,INIM3008 Microbial Pathogenesis
1630,36411,INIMG005: Immunodeficiency and Therapeutics
