capability,Manager,Course_Creator,Tutor,Non_Edit,Student,Guest,Course_Administrator,UCL_Support_Staff,Participant,Authenticated_user,Enrolment_keyholder,Service_Desk_Administrator,CALT_Support,Sub_Administrator,Question_Sharer,Overviewing_Advisor,Report_Reader,Report_Writer,Leader,Library_Administrator,Webservice_role,Personal_Tutor_Role,Course_Administrator_no_email,MyFeedback_Departmental_Administrator,Digital_Education_Admin,QAA_Reviewer,Non_editing_Tutor_no_emails
assignsubmission/helixassign:can_use,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
atto/helixatto:visible,X,X,X,X,NULL,NULL,X,NULL,"X,X",NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
block/activity_modules:addinstance,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
block/activity_results:addinstance,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
block/admin_bookmarks:addinstance,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
block/admin_bookmarks:myaddinstance,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
block/attendance:addinstance,X,NULL,"X,X",NULL,"X,X,X",X,X,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
block/badges:addinstance,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
block/badges:myaddinstance,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
block/blog_menu:addinstance,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL
